index,ID,Region,Main Source of Income,Agricultural Household indicator,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Walls,House Floor Area,House Age,Number of bedrooms,Electricity,Total Household Income,Total Food Expenditure,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle
18148,1615,H,Enterpreneurial Activities,0.0,Male,34.0,Married,Self-employed wihout any employee,Single Family,3.0,0.0,1.0,0.0,Single house,Strong,,14.0,2.0,1.0,339946.0,107805.0,24790.0,15448.0,17436.0,10708.0,3440.0,3646.0,13200.0,0.0,0.0,,,,2100.0,4899.0,1140.0,2050.0,,,0.0,,2.0,1.0,0.0,1.0,1.0,,0.0,0.0,3.0,,0.0,0.0,0.0
3924,418,C,Wage/Salaries,0.0,Male,61.0,Married,Self-employed wihout any employee,Single Family,8.0,0.0,0.0,3.0,Single house,Light,36.0,5.0,2.0,1.0,339944.0,100281.0,35381.0,32400.0,8210.0,14672.0,2300.0,4130.0,18000.0,0.0,0.0,5550.0,20700.0,10800.0,895.0,3600.0,1680.0,0.0,12588.0,,,36050.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
41474,1719,Q,Other sources of Income,,Male,52.0,Married,Self-employed wihout any employee,Extended Family,7.0,0.0,4.0,1.0,Single house,Strong,23.0,21.0,2.0,1.0,339904.0,68967.0,36754.0,20510.0,6432.0,,,,18840.0,0.0,0.0,4915.0,24456.0,7200.0,860.0,4899.0,,,8748.0,,,78584.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
35619,3365,N,Wage/Salaries,,Male,48.0,Married,Worked for private establishment,Single Family,4.0,0.0,1.0,1.0,Multi-unit residential,Strong,30.0,25.0,2.0,1.0,339900.0,77827.0,16744.0,12064.0,6343.0,7767.0,1903.0,2950.0,12350.0,1065.0,0.0,5930.0,,,710.0,,1140.0,,5766.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
11480,403,F,Other sources of Income,0.0,Male,61.0,Married,Employer in own family-operated farm or business,Extended Family,4.0,0.0,0.0,1.0,Single house,Strong,36.0,17.0,3.0,1.0,339882.0,133297.0,24608.0,20560.0,14560.0,10549.0,,4072.0,5500.0,,0.0,,,,,8730.0,,,,,,11636.5,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,
26414,1291,K,Other sources of Income,0.0,Female,57.0,Widowed,Self-employed wihout any employee,Extended Family,4.0,0.0,2.0,1.0,Single house,Strong,28.0,23.0,3.0,1.0,339850.0,123063.0,20798.0,11550.0,,,,3496.0,15696.0,0.0,0.0,2830.0,19848.0,,710.0,14058.0,1140.0,980.0,,5478.0,0.0,16040.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0
2903,1179,B,Other sources of Income,0.0,Male,56.0,Married,Worked for private establishment,Single Family,8.0,,4.0,2.0,Single house,Strong,70.0,17.0,,1.0,339845.0,122250.0,42361.0,15900.0,6343.0,16894.0,,6601.0,2463.0,150.0,0.0,4977.0,32682.0,12000.0,2892.0,9180.0,396.0,300.0,7314.0,260.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
25928,805,K,Wage/Salaries,0.0,Female,58.0,Widowed,Self-employed wihout any employee,Extended Family,8.0,0.0,2.0,2.0,Single house,Strong,66.0,15.0,2.0,1.0,339825.0,103643.0,29478.0,24830.0,4598.0,17008.0,2680.0,7155.0,3840.0,,650.0,6390.0,42234.0,21000.0,710.0,4899.0,1140.0,450.0,5766.0,2800.0,0.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,
13699,2622,F,Other sources of Income,0.0,Male,42.0,Married,Worked for private establishment,Extended Family,5.0,0.0,1.0,1.0,Single house,Strong,20.0,15.0,2.0,1.0,339784.0,78296.0,14729.0,7365.0,10280.0,16047.0,1620.0,3236.0,6000.0,0.0,0.0,3565.0,26004.0,15000.0,,2976.0,1044.0,1175.0,11088.0,500.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
14055,2978,F,Wage/Salaries,0.0,Male,52.0,Married,Employer in own family-operated farm or business,Extended Family,4.0,0.0,0.0,1.0,Single house,Strong,36.0,1.0,,1.0,339712.0,68967.0,30036.0,19200.0,,11438.0,,6152.0,11231.0,90.0,,,19848.0,,1690.0,4899.0,,,,1000.0,,33690.0,2.0,,0.0,1.0,1.0,,,0.0,2.0,,,0.0,
